UsageData 2026-05-06,,,,,,,,,
,,,,,,,,,
ApplicationName,Functionality,cadTool,ProductLine,Status,Region,StartDate,StopDate,isProd,isVDI
NOTES UTILITY,2D TITLEBLOCK,NX,FLUIDS,Success,EU,1/14/2025,1/14/2025,TRUE,TRUE
NOTES UTILITY,2D TITLEBLOCK,NX,FLUIDS,Success,EU,1/14/2025,1/14/2025,TRUE,TRUE
POINT CHART,TUBE,NX,SEALING,Success,NA,1/15/2025,1/15/2025,TRUE,TRUE
POINT CHART,XYZ TABLE,NX,SEALING,Success,NA,1/15/2025,1/15/2025,TRUE,TRUE
POINT CHART,XYZ TABLE,NX,SEALING,Success,NA,1/15/2025,1/15/2025,TRUE,TRUE
NOTES UTILITY,2D TITLEBLOCK,NX,FLUIDS,Success,NA,1/15/2025,1/15/2025,TRUE,TRUE
NOTES UTILITY,2D TITLEBLOCK,NX,FLUIDS,Success,NA,1/15/2025,1/15/2025,TRUE,TRUE
NOTES UTILITY,2D TITLEBLOCK,NX,FLUIDS,Success,NA,1/16/2025,1/16/2025,TRUE,TRUE
NOTES UTILITY,2D TITLEBLOCK,NX,FLUIDS,Success,NA,1/16/2025,1/16/2025,TRUE,TRUE
NOTES UTILITY,2D TITLEBLOCK,NX,FLUIDS,Success,NA,1/16/2025,1/16/2025,TRUE,TRUE
NOTES UTILITY,2D TITLEBLOCK,NX,FLUIDS,Success,NA,1/16/2025,1/16/2025,TRUE,TRUE
NOTES UTILITY,2D TITLEBLOCK,NX,FLUIDS,Success,NA,1/16/2025,1/16/2025,TRUE,TRUE
NOTES UTILITY,2D TITLEBLOCK,NX,FLUIDS,Success,NA,1/16/2025,1/16/2025,TRUE,TRUE
NOTES UTILITY,2D TITLEBLOCK,NX,FLUIDS,Success,NA,1/16/2025,1/16/2025,TRUE,TRUE
NOTES UTILITY,2D TITLEBLOCK,NX,FLUIDS,Success,EU,1/17/2025,1/17/2025,TRUE,TRUE
NOTES UTILITY,2D TITLEBLOCK,NX,FLUIDS,Success,EU,1/17/2025,1/17/2025,TRUE,TRUE
NOTES UTILITY,2D TITLEBLOCK,NX,FLUIDS,Success,EU,1/17/2025,1/17/2025,TRUE,TRUE
NOTES UTILITY,2D TITLEBLOCK,NX,FLUIDS,Success,EU,1/17/2025,1/17/2025,TRUE,TRUE
NOTES UTILITY,2D TITLEBLOCK,NX,FLUIDS,Success,EU,1/17/2025,1/17/2025,TRUE,TRUE
SMART CVT,INNER VOLUME SURFACE,NX,FLUIDS,Success,NA,1/22/2025,1/22/2025,TRUE,TRUE
SMART CVT,INNER VOLUME SURFACE,NX,FLUIDS,Success,NA,1/22/2025,1/22/2025,TRUE,TRUE
SMART CVT,INNER VOLUME BODY,NX,FLUIDS,Success,NA,1/22/2025,1/22/2025,TRUE,TRUE
DESIGN TOOLKIT,SEAL CREATOR,CATIA,SEALING,Success,NA,1/22/2025,1/22/2025,TRUE,TRUE
DESIGN TOOLKIT,SEAL CREATOR,CATIA,SEALING,Success,NA,1/22/2025,1/22/2025,TRUE,TRUE
DESIGN TOOLKIT,SEAL CREATOR,CATIA,SEALING,Success,NA,1/22/2025,1/22/2025,TRUE,TRUE
SMART CVT,INNER VOLUME BODY,CATIA,FLUIDS,Success,NA,1/22/2025,1/22/2025,FALSE,TRUE
SMART CVT,INNER VOLUME BODY,CATIA,FLUIDS,Success,NA,1/22/2025,1/22/2025,FALSE,TRUE
SMART CVT,INNER VOLUME SURFACE,CATIA,FLUIDS,Success,NA,1/22/2025,1/22/2025,FALSE,TRUE
SMART CVT,INNER VOLUME BODY,CATIA,FLUIDS,Success,NA,1/22/2025,1/22/2025,TRUE,TRUE
SMART CVT,INNER VOLUME BODY,CATIA,FLUIDS,Success,NA,1/22/2025,1/22/2025,TRUE,TRUE
SMART CVT,INNER VOLUME BODY,CATIA,FLUIDS,Success,NA,1/22/2025,1/22/2025,FALSE,TRUE
SMART CVT,TRIM,CATIA,FLUIDS,Success,NA,1/22/2025,1/22/2025,FALSE,TRUE
SMART CVT,INNER VOLUME BODY,CATIA,FLUIDS,Success,NA,1/22/2025,1/22/2025,FALSE,TRUE
SMART CVT,EXPORT EXCEL,CATIA,FLUIDS,Success,NA,1/22/2025,1/22/2025,FALSE,TRUE
DESIGN TOOLKIT,SEAL CREATOR,CATIA,SEALING,Success,EU,1/22/2025,1/22/2025,TRUE,FALSE
DESIGN TOOLKIT,SEAL CREATOR,CATIA,SEALING,Success,EU,1/22/2025,1/22/2025,TRUE,FALSE
DESIGN TOOLKIT,SEAL CREATOR,CATIA,SEALING,Success,EU,1/22/2025,1/22/2025,TRUE,FALSE
DESIGN TOOLKIT,SEAL CREATOR,CATIA,SEALING,Success,EU,1/22/2025,1/22/2025,TRUE,FALSE
SMART CVT,INNER VOLUME SURFACE,CATIA,FLUIDS,Success,NA,1/23/2025,1/23/2025,TRUE,TRUE
DESIGN TOOLKIT,SEAL CREATOR,CATIA,FLUIDS,Success,EU,1/23/2025,1/23/2025,TRUE,FALSE
SMART CVT,INNER VOLUME SURFACE,CATIA,FLUIDS,Success,NA,1/23/2025,1/23/2025,TRUE,TRUE
SMART CVT,INNER VOLUME SURFACE,CATIA,FLUIDS,Success,NA,1/23/2025,1/23/2025,TRUE,TRUE
SMART CVT,INNER VOLUME SURFACE,CATIA,FLUIDS,Success,NA,1/23/2025,1/23/2025,TRUE,TRUE
SMART CVT,INNER VOLUME BODY,CATIA,FLUIDS,Success,NA,1/23/2025,1/23/2025,TRUE,TRUE
SMART CVT,INNER VOLUME BODY,CATIA,FLUIDS,Success,NA,1/23/2025,1/23/2025,TRUE,TRUE
SMART CVT,EXPORT EXCEL,CATIA,FLUIDS,Success,NA,1/23/2025,1/23/2025,TRUE,TRUE
DESIGN TOOLKIT,SEAL CREATOR,CATIA,SEALING,Success,EU,1/23/2025,1/23/2025,TRUE,FALSE
DESIGN TOOLKIT,SEAL CREATOR,CATIA,SEALING,Success,EU,1/23/2025,1/23/2025,TRUE,FALSE
DESIGN TOOLKIT,SEAL CREATOR,CATIA,SEALING,Success,EU,1/23/2025,1/23/2025,TRUE,FALSE
PROFILE CHECKER,CHECK,CATIA,SEALING,Success,EU,1/24/2025,1/24/2025,TRUE,FALSE
DESIGN TOOLKIT,SEAL CREATOR,CATIA,SEALING,Success,EU,1/24/2025,1/24/2025,TRUE,FALSE
DESIGN TOOLKIT,SEAL CREATOR,CATIA,SEALING,Success,EU,1/24/2025,1/24/2025,TRUE,FALSE
SMART CVT,INNER VOLUME SURFACE,NX,FLUIDS,Success,NA,1/24/2025,1/24/2025,TRUE,TRUE
SMART CVT,INNER VOLUME SURFACE,NX,FLUIDS,Success,NA,1/24/2025,1/24/2025,TRUE,TRUE
SMART CVT,INNER VOLUME BODY,NX,FLUIDS,Success,NA,1/24/2025,1/24/2025,TRUE,TRUE
SMART CVT,INNER VOLUME SURFACE,NX,FLUIDS,Success,NA,1/24/2025,1/24/2025,TRUE,TRUE
SMART CVT,INNER VOLUME BODY,NX,FLUIDS,Success,NA,1/24/2025,1/24/2025,TRUE,TRUE
SMART CVT,TRIM,NX,FLUIDS,Failed,NA,1/24/2025,1/24/2025,TRUE,TRUE
SMART CVT,TRIM,NX,FLUIDS,Failed,NA,1/24/2025,1/24/2025,TRUE,TRUE
SMART CVT,STICK MODEL,NX,FLUIDS,Success,NA,1/24/2025,1/24/2025,TRUE,TRUE
SMART CVT,FORMED MODEL,NX,FLUIDS,Success,NA,1/24/2025,1/24/2025,TRUE,TRUE
SMART CVT,TRIM,NX,FLUIDS,Failed,NA,1/24/2025,1/24/2025,TRUE,TRUE
SMART CVT,STICK MODEL,NX,FLUIDS,Success,NA,1/24/2025,1/24/2025,TRUE,TRUE
SMART CVT,TRIM,NX,FLUIDS,Success,NA,1/24/2025,1/24/2025,TRUE,TRUE
SMART CVT,STICK MODEL,NX,FLUIDS,Success,NA,1/24/2025,1/24/2025,TRUE,TRUE
SMART CVT,FORMED MODEL,NX,FLUIDS,Success,NA,1/24/2025,1/24/2025,TRUE,TRUE
SMART CVT,INNER VOLUME SURFACE,NX,FLUIDS,Success,NA,1/24/2025,1/24/2025,TRUE,TRUE
SMART CVT,INNER VOLUME SURFACE,NX,FLUIDS,Success,NA,1/24/2025,1/24/2025,TRUE,TRUE
SMART CVT,INNER VOLUME BODY,NX,FLUIDS,Success,NA,1/24/2025,1/24/2025,TRUE,TRUE
SMART CVT,INNER VOLUME SURFACE,NX,FLUIDS,Success,NA,1/24/2025,1/24/2025,TRUE,TRUE
SMART CVT,INNER VOLUME BODY,NX,FLUIDS,Success,NA,1/24/2025,1/24/2025,TRUE,TRUE
SMART CVT,TRIM,NX,FLUIDS,Success,NA,1/24/2025,1/24/2025,TRUE,TRUE
SMART CVT,TRIM,NX,FLUIDS,Success,NA,1/24/2025,1/24/2025,TRUE,TRUE
SMART CVT,INNER VOLUME SURFACE,NX,FLUIDS,Success,NA,1/24/2025,1/24/2025,TRUE,TRUE
SMART CVT,STICK MODEL,NX,FLUIDS,Success,NA,1/24/2025,1/24/2025,TRUE,TRUE
SMART CVT,FORMED MODEL,NX,FLUIDS,Success,NA,1/24/2025,1/24/2025,TRUE,TRUE
SMART CVT,INNER VOLUME SURFACE,NX,FLUIDS,Success,NA,1/24/2025,1/24/2025,TRUE,TRUE
SMART CVT,INNER VOLUME BODY,NX,FLUIDS,Success,NA,1/24/2025,1/24/2025,TRUE,TRUE
SMART CVT,INNER VOLUME SURFACE,NX,FLUIDS,Success,NA,1/24/2025,1/24/2025,TRUE,TRUE
SMART CVT,INNER VOLUME BODY,NX,FLUIDS,Success,NA,1/24/2025,1/24/2025,TRUE,TRUE
SMART CVT,INNER VOLUME SURFACE,NX,FLUIDS,Success,NA,1/24/2025,1/24/2025,TRUE,TRUE
SMART CVT,INNER VOLUME BODY,NX,FLUIDS,Success,NA,1/24/2025,1/24/2025,TRUE,TRUE
SMART CVT,INNER VOLUME BODY,CATIA,FLUIDS,Success,NA,1/24/2025,1/24/2025,TRUE,TRUE
SMART CVT,TRIM,CATIA,FLUIDS,Success,NA,1/24/2025,1/24/2025,TRUE,TRUE
SMART CVT,INNER VOLUME BODY,CATIA,FLUIDS,Success,NA,1/24/2025,1/24/2025,TRUE,TRUE
SMART CVT,INNER VOLUME SURFACE,NX,FLUIDS,Success,NA,1/24/2025,1/24/2025,TRUE,TRUE
SMART CVT,INNER VOLUME BODY,NX,FLUIDS,Success,NA,1/24/2025,1/24/2025,TRUE,TRUE
